Выигрыш алгоритма Hedge на шаге 128 (2007-10-07 00:00:00): 0.7527931131746886, денежный выигрыш: 94.20585028263518, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 129 (2007-10-08 00:00:00): 0.7517988327308501, денежный выигрыш: 94.95764911536604, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 130 (2007-10-09 00:00:00): 0.7517140567638122, денежный выигрыш: 95.70936317212986, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 131 (2007-10-10 00:00:00): 5.89839937293005, денежный выигрыш: 101.6077625450599, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 132 (2007-10-11 00:00:00): -6.649242279523683, денежный выигрыш: 94.95852026553621, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 133 (2007-10-12 00:00:00): 24.319793935481805, денежный выигрыш: 119.27831420101802, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 134 (2007-10-13 00:00:00): -10.091745367639406, денежный выигрыш: 109.18656883337862, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 135 (2007-10-14 00:00:00): 2.0118353258631942, денежный выигрыш: 111.1984041592418, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 136 (2007-10-15 00:00:00): 2.012825378401731, денежный выигрыш: 113.21122953764353, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 137 (2007-10-16 00:00:00): 2.0127492377013994, денежный выигрыш: 115.22397877534493, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 138 (2007-10-17 00:00:00): -0.7062299978726858, денежный выигрыш: 114.51774877747225, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 139 (2007-10-18 00:00:00): -0.25009554426807395, денежный выигрыш: 114.26765323320417, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 140 (2007-10-19 00:00:00): -37.53748610835387, денежный выигрыш: 76.73016712485031, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 141 (2007-10-20 00:00:00): -5.063126885386243, денежный выигрыш: 71.66704023946407, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 142 (2007-10-21 00:00:00): -10.0465319635885, денежный выигрыш: 61.62050827587557, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 143 (2007-10-22 00:00:00): -10.043331790831006, денежный выигрыш: 51.57717648504457, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 144 (2007-10-23 00:00:00): -10.041586724751378, денежный выигрыш: 41.53558976029319, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 145 (2007-10-24 00:00:00): 9.452165755133311, денежный выигрыш: 50.9877555154265, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 146 (2007-10-25 00:00:00): -5.436746134535672, денежный выигрыш: 45.551009380890825, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 147 (2007-10-26 00:00:00): 13.08652360617822, денежный выигрыш: 58.637532987069044, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 148 (2007-10-27 00:00:00): 36.250095777171076, денежный выигрыш: 94.88762876424012, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 149 (2007-10-28 00:00:00): 10.485727550673914, денежный выигрыш: 105.37335631491403, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 150 (2007-10-29 00:00:00): 10.470963007330798, денежный выигрыш: 115.84431932224483, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 151 (2007-10-30 00:00:00): 10.47154696103519, денежный выигрыш: 126.31586628328002, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 152 (2007-10-31 00:00:00): -10.052234732052119, денежный выигрыш: 116.2636315512279, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 153 (2007-11-01 00:00:00): 12.80561894024245, денежный выигрыш: 129.06925049147034, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 154 (2007-11-02 00:00:00): -4.06037873846868, денежный выигрыш: 125.00887175300166, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 155 (2007-11-03 00:00:00): 13.548946710123777, денежный выигрыш: 138.55781846312544, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 156 (2007-11-04 00:00:00): 10.311032826191092, денежный выигрыш: 148.86885128931652, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 157 (2007-11-05 00:00:00): 10.31233440220932, денежный выигрыш: 159.18118569152585, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 158 (2007-11-06 00:00:00): 10.31462652662372, денежный выигрыш: 169.49581221814958, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 159 (2007-11-07 00:00:00): 10.316998700447602, денежный выигрыш: 179.8128109185972, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 160 (2007-11-08 00:00:00): -12.207579188963113, денежный выигрыш: 167.60523172963408, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 161 (2007-11-09 00:00:00): -2.1122933909805117, денежный выигрыш: 165.49293833865357, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 162 (2007-11-10 00:00:00): -34.39138360893497, денежный выигрыш: 131.1015547297186, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 163 (2007-11-11 00:00:00): -5.099508027173471, денежный выигрыш: 126.00204670254513, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 164 (2007-11-12 00:00:00): -5.109988994826145, денежный выигрыш: 120.89205770771899, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 165 (2007-11-13 00:00:00): -5.109942811922506, денежный выигрыш: 115.78211489579648, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 166 (2007-11-14 00:00:00): -16.70847462887386, денежный выигрыш: 99.07364026692262, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 167 (2007-11-15 00:00:00): 5.297317728022752, денежный выигрыш: 104.37095799494537, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 168 (2007-11-16 00:00:00): -12.026042240478297, денежный выигрыш: 92.34491575446708, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 169 (2007-11-17 00:00:00): -25.788185519920464, денежный выигрыш: 66.55673023454662, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 170 (2007-11-18 00:00:00): -5.6910908661341235, денежный выигрыш: 60.865639368412495, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 171 (2007-11-19 00:00:00): -5.69954476243024, денежный выигрыш: 55.16609460598225, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 172 (2007-11-20 00:00:00): -5.700015090905798, денежный выигрыш: 49.46607951507645, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 173 (2007-11-21 00:00:00): 17.01610600220121, денежный выигрыш: 66.48218551727766, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 174 (2007-11-22 00:00:00): -25.666883287829652, денежный выигрыш: 40.81530222944801, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 175 (2007-11-23 00:00:00): 1.2526954486989723, денежный выигрыш: 42.06799767814698, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 176 (2007-11-24 00:00:00): 1.6051440324728463, денежный выигрыш: 43.673141710619824, eta: 0.001, большая delta: 0
