Выигрыш алгоритма Hedge на шаге 96 (2007-09-05 00:00:00): -0.9123141628041809, денежный выигрыш: 49.30969231401242, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 97 (2007-09-06 00:00:00): 6.477229052591802, денежный выигрыш: 55.786921366604226, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 98 (2007-09-07 00:00:00): -18.503739994313698, денежный выигрыш: 37.28318137229053, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 99 (2007-09-08 00:00:00): -0.41693474978771683, денежный выигрыш: 36.866246622502814, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 100 (2007-09-09 00:00:00): -0.4168385767903231, денежный выигрыш: 36.44940804571249, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 101 (2007-09-10 00:00:00): -0.45025847780787853, денежный выигрыш: 35.99914956790461, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 102 (2007-09-11 00:00:00): 3.101734799134057, денежный выигрыш: 39.10088436703867, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 103 (2007-09-12 00:00:00): -6.864898362466939, денежный выигрыш: 32.23598600457173, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 104 (2007-09-13 00:00:00): 14.554290199414545, денежный выигрыш: 46.790276203986274, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 105 (2007-09-14 00:00:00): -1.0648706025927477, денежный выигрыш: 45.725405601393526, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 106 (2007-09-15 00:00:00): -2.9997655323533365, денежный выигрыш: 42.72564006904019, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 107 (2007-09-16 00:00:00): -3.250447081692911, денежный выигрыш: 39.47519298734728, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 108 (2007-09-17 00:00:00): -3.2501633722759715, денежный выигрыш: 36.22502961507131, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 109 (2007-09-18 00:00:00): 11.443961681251682, денежный выигрыш: 47.668991296322986, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 110 (2007-09-19 00:00:00): 28.401915613364185, денежный выигрыш: 76.07090690968717, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 111 (2007-09-20 00:00:00): -10.458947547352164, денежный выигрыш: 65.611959362335, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 112 (2007-09-21 00:00:00): 6.48303016769292, денежный выигрыш: 72.09498953002792, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 113 (2007-09-22 00:00:00): 5.249317226837639, денежный выигрыш: 77.34430675686555, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 114 (2007-09-23 00:00:00): 5.250209841069411, денежный выигрыш: 82.59451659793496, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 115 (2007-09-24 00:00:00): 4.37980679398505, денежный выигрыш: 86.97432339192001, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 116 (2007-09-25 00:00:00): -15.43627106294884, денежный выигрыш: 71.53805232897116, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 117 (2007-09-26 00:00:00): 18.14982254583417, денежный выигрыш: 89.68787487480533, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 118 (2007-09-27 00:00:00): -2.5739650584924885, денежный выигрыш: 87.11390981631284, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 119 (2007-09-28 00:00:00): -5.774787681640417, денежный выигрыш: 81.33912213467242, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 120 (2007-09-29 00:00:00): -4.374303967433414, денежный выигрыш: 76.964818167239, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 121 (2007-09-30 00:00:00): -4.373944208344312, денежный выигрыш: 72.59087395889469, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 122 (2007-10-01 00:00:00): -4.3736196581275735, денежный выигрыш: 68.21725430076711, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 123 (2007-10-02 00:00:00): 20.163283591378484, денежный выигрыш: 88.3805378921456, eta: 1e-05, большая delta: 0
