Выигрыш алгоритма Hedge на шаге 76 (2007-08-16 00:00:00): -19.839864198006154, денежный выигрыш: 24.864060283803283, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 77 (2007-08-17 00:00:00): 17.161764667935774, денежный выигрыш: 42.025824951739054, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 78 (2007-08-18 00:00:00): -2.279840508626708, денежный выигрыш: 39.74598444311235, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 79 (2007-08-19 00:00:00): -2.3338314624738397, денежный выигрыш: 37.41215298063851, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 80 (2007-08-20 00:00:00): -2.3313802590665462, денежный выигрыш: 35.08077272157196, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 81 (2007-08-21 00:00:00): -7.2952096178924775, денежный выигрыш: 27.785563103679483, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 82 (2007-08-22 00:00:00): 15.574940193970875, денежный выигрыш: 43.360503297650354, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 83 (2007-08-23 00:00:00): -6.274324160003376, денежный выигрыш: 37.08617913764698, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 84 (2007-08-24 00:00:00): 0.08764918817183665, денежный выигрыш: 37.17382832581882, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 85 (2007-08-25 00:00:00): 3.796767185359146, денежный выигрыш: 40.97059551117796, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 86 (2007-08-26 00:00:00): 3.8249197645752573, денежный выигрыш: 44.79551527575322, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 87 (2007-08-27 00:00:00): 3.8533359482619147, денежный выигрыш: 48.64885122401513, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 88 (2007-08-28 00:00:00): -5.5446760250936435, денежный выигрыш: 43.10417519892149, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 89 (2007-08-29 00:00:00): -5.675480095938875, денежный выигрыш: 37.428695102982616, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 90 (2007-08-30 00:00:00): -1.4507648010711494, денежный выигрыш: 35.977930301911464, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 91 (2007-08-31 00:00:00): 23.920799562116006, денежный выигрыш: 59.89872986402747, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 92 (2007-09-01 00:00:00): -1.7239534524864009, денежный выигрыш: 58.174776411541075, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 93 (2007-09-02 00:00:00): -1.8508488798392884, денежный выигрыш: 56.323927531701784, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 94 (2007-09-03 00:00:00): -1.7821926945282378, денежный выигрыш: 54.54173483717355, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 95 (2007-09-04 00:00:00): -5.206380041176655, денежный выигрыш: 49.33535479599689, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 96 (2007-09-05 00:00:00): -0.8357352665961477, денежный выигрыш: 48.499619529400746, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 97 (2007-09-06 00:00:00): 5.639316957872121, денежный выигрыш: 54.138936487272865, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 98 (2007-09-07 00:00:00): -17.65810691814962, денежный выигрыш: 36.480829569123244, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 99 (2007-09-08 00:00:00): -0.23875817959709056, денежный выигрыш: 36.24207138952615, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 100 (2007-09-09 00:00:00): -0.23571166241628239, денежный выигрыш: 36.00635972710987, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 101 (2007-09-10 00:00:00): -0.23257545650444872, денежный выигрыш: 35.77378427060542, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 102 (2007-09-11 00:00:00): 2.951746270752019, денежный выигрыш: 38.725530541357436, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 103 (2007-09-12 00:00:00): -7.087374249717476, денежный выигрыш: 31.63815629163996, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 104 (2007-09-13 00:00:00): 14.172108529215535, денежный выигрыш: 45.810264820855494, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 105 (2007-09-14 00:00:00): -0.6390873241885511, денежный выигрыш: 45.17117749666694, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 106 (2007-09-15 00:00:00): -3.045369967986765, денежный выигрыш: 42.12580752868018, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 107 (2007-09-16 00:00:00): -3.0325710515654274, денежный выигрыш: 39.09323647711475, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 108 (2007-09-17 00:00:00): -3.019685527233001, денежный выигрыш: 36.07355094988175, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 109 (2007-09-18 00:00:00): 10.848669933429338, денежный выигрыш: 46.922220883311084, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 110 (2007-09-19 00:00:00): 27.586094683929744, денежный выигрыш: 74.50831556724083, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 111 (2007-09-20 00:00:00): -13.142370261838442, денежный выигрыш: 61.365945305402384, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 112 (2007-09-21 00:00:00): 5.721937135419285, денежный выигрыш: 67.08788244082167, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 113 (2007-09-22 00:00:00): 4.800491340413422, денежный выигрыш: 71.88837378123509, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 114 (2007-09-23 00:00:00): 4.839218841880034, денежный выигрыш: 76.72759262311513, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 115 (2007-09-24 00:00:00): 4.878193220781759, денежный выигрыш: 81.60578584389688, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 116 (2007-09-25 00:00:00): -14.424107377576805, денежный выигрыш: 67.18167846632008, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 117 (2007-09-26 00:00:00): 18.133150864879322, денежный выигрыш: 85.3148293311994, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 118 (2007-09-27 00:00:00): -1.9875200725160234, денежный выигрыш: 83.32730925868339, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 119 (2007-09-28 00:00:00): -4.927875601504764, денежный выигрыш: 78.39943365717862, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 120 (2007-09-29 00:00:00): -4.3265583726912835, денежный выигрыш: 74.07287528448734, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 121 (2007-09-30 00:00:00): -4.312755426522183, денежный выигрыш: 69.76011985796515, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 122 (2007-10-01 00:00:00): -4.299086111530034, денежный выигрыш: 65.46103374643512, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 123 (2007-10-02 00:00:00): 18.807837400858784, денежный выигрыш: 84.26887114729391, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 124 (2007-10-03 00:00:00): -14.487855762824468, денежный выигрыш: 69.78101538446944, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 125 (2007-10-04 00:00:00): -3.3872818731603247, денежный выигрыш: 66.39373351130912, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 126 (2007-10-05 00:00:00): 10.517892473675335, денежный выигрыш: 76.91162598498445, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 127 (2007-10-06 00:00:00): 0.4249395398446418, денежный выигрыш: 77.3365655248291, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 128 (2007-10-07 00:00:00): 0.42880424058088995, денежный выигрыш: 77.76536976540999, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 129 (2007-10-08 00:00:00): 0.43258768242695467, денежный выигрыш: 78.19795744783694, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 130 (2007-10-09 00:00:00): 11.137284269734922, денежный выигрыш: 89.33524171757186, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 131 (2007-10-10 00:00:00): -5.919480564050055, денежный выигрыш: 83.4157611535218, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 132 (2007-10-11 00:00:00): 13.980973691714464, денежный выигрыш: 97.39673484523627, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 133 (2007-10-12 00:00:00): -2.8345132500612853, денежный выигрыш: 94.56222159517498, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 134 (2007-10-13 00:00:00): 2.700658995647247, денежный выигрыш: 97.26288059082222, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 135 (2007-10-14 00:00:00): 2.704552446995115, денежный выигрыш: 99.96743303781733, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 136 (2007-10-15 00:00:00): 2.7084799077398567, денежный выигрыш: 102.67591294555719, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 137 (2007-10-16 00:00:00): -7.552561838154039, денежный выигрыш: 95.12335110740315, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 138 (2007-10-17 00:00:00): 9.17342339567898, денежный выигрыш: 104.29677450308213, eta: 0.0005, большая delta: 0
